!From MultiFun site 2003-09-29
!typos etc in MultiFun corrected
!Created by Michael Ashburner & Jane Lomax September 29 2003, updated by Jane Lomax December 19 2005
!version 1.3
!
MultiFun:1 Metabolism > GO:metabolism ; GO:0008152
MultiFun:1.6.7 Peptidoglycan (murein) > GO:peptidoglycan biosynthesis ; GO:0009252
MultiFun:1.6.9 Polysaccharides, cytoplasmic > GO:polysaccharide biosynthesis ; GO:0000271
MultiFun:1.6.10 Lipoprotein > GO:lipoprotein biosynthesis ; GO:0042158
MultiFun:1.6.11 Glycoprotein > GO:glycoprotein biosynthesis ; GO:0009101
MultiFun:1.6.12 Flagella > GO:flagellum biogenesis ; GO:0009296
MultiFun:1.6.13 Fimbria, pili, curli > GO:pilus biogenesis ; GO:0009297
MultiFun:1.6.15 Large molecule carriers > GO:protein biosynthesis ; GO:0006412
MultiFun:1.6.15.1 Cytochromes > GO:cytochrome complex assembly ; GO:0017004
MultiFun:1.6.15.2 Thioredoxin, glutaredoxin  > GO:thioredoxin biosynthesis ; GO:0042964
MultiFun:1.6.15.2 Thioredoxin, glutaredoxin  > GO:glutaredoxin biosynthesis ; GO:0042965
MultiFun:1.6.15.3 Biotin carboxyl carrier protein > GO:biotin carboxyl carrier protein biosynthesis ; GO:0042966
MultiFun:1.6.15.4 Acyl carrier protein > GO:acyl-carrier protein biosynthesis ; GO:0042967
MultiFun:1.6.16 Cellulose biosynthesis > GO:cellulose biosynthesis ; GO:0030244
MultiFun:1.7 Central intermediary metabolism > GO:.
MultiFun:1.7.1 Unassigned reversible reactions > GO:.
MultiFun:1.7.2 Glyoxylate bypass > GO:glyoxylate cycle ; GO:0006097
MultiFun:1.7.3 Pentose phosphate shunt, non-oxidative branch > GO:pentose-phosphate shunt, non-oxidative branch ; GO:0009052
MultiFun:1.7.6 Glycerol metabolism > GO:glycerol metabolism ; GO:0006071
MultiFun:1.7.7 Galactose metabolism > GO:galactose metabolism ; GO:0006012
MultiFun:1.7.8 Gluconeogenesis > GO:gluconeogenesis ; GO:0006094
MultiFun:1.7.9 Misc. glucose metabolism  > GO:glucose metabolism ; GO:0006006
MultiFun:1.7.10 Sugar nucleotide biosynthesis, conversions > GO:nucleotide-sugar biosynthesis ; GO:0009226
MultiFun:1.7.12 Amino sugar conversions > GO:amino sugar biosynthesis ; GO:0046349
MultiFun:1.7.13 Amino acid conversion > GO:amino acid metabolism ; GO:0006520
MultiFun:1.7.14 Polyamine biosynthesis > GO:polyamine biosynthesis ; GO:0006596
MultiFun:1.7.15 2'-deoxyribonucleotide/ribonucleoside metabolism > GO:2'-deoxyribonucleotide biosynthesis ; GO:0009265
MultiFun:1.7.17 Formyl-tetrahydrofolate biosynthesis > GO:10-formyltetrahydrofolate biosynthesis ; GO:0009257
MultiFun:1.7.18 Betaine biosynthesis > GO:betaine biosynthesis ; GO:0006578
MultiFun:1.7.19 Incorporation of metal ions > GO:.
MultiFun:1.7.20 S-adenosyl methionine biosynthesis > GO:S-adenosylmethionine biosynthesis ; GO:0006556
MultiFun:1.7.21 Glyoxylate degradation > GO:glyoxylate catabolism ; GO:0009436
MultiFun:1.7.22 Carnitine metabolism > GO:carnitine catabolism ; GO:0042413
MultiFun:1.7.23 Methylglyoxal metabolism > GO:methylglyoxal metabolism ; GO:0009438
MultiFun:1.7.24 Cyanate catabolism > GO:cyanate catabolism ; GO:0009440
MultiFun:1.7.25 Glycolate metabolism > GO:glycolate metabolism ; GO:0009441
MultiFun:1.7.26 Allantoin assimilation > GO:allantoin assimilation pathway ; GO:0009442
MultiFun:1.7.27 Pyridoxal 5'-phosphate salvage > GO:pyridoxal 5'-phosphate salvage ; GO:0009443
MultiFun:1.7.28 Pyruvate catabolism > GO:pyruvate catabolism ; GO:0042867
MultiFun:1.7.29 Acetate catabolism > GO:acetate catabolism ; GO:0045733
MultiFun:1.7.31 Aminobutyrate catabolism > GO:gamma-aminobutyric acid catabolism ; GO:0009450
MultiFun:1.7.32 Putrescine catabolism > GO:putrescine catabolism ; GO:0009447
MultiFun:1.7.33 Nucleotide and nucleoside conversions > GO:nucleobase, nucleoside and nucleotide interconversion ; GO:0015949
MultiFun:1.7.34 Peptidoglycan (murein) turnover, recycling > GO:peptidoglycan metabolism ; GO:0000270
MultiFun:1.7.35 Lactate oxidation > GO:lactate oxidation ; GO:0019516
MultiFun:1.7.36 Trehalose biosynthesis > GO:trehalose biosynthesis ; GO:0005992
MultiFun:1.7.37 C1 assimilation, serine pathway > GO:serine-isocitrate lyase pathway ; GO:0019496
MultiFun:1.7.38 Methionine salvage pathway > GO:methionine salvage ; GO:0019509
MultiFun:1.8 Metabolism of other compounds > GO:.
MultiFun:1.8.1 Phosphorous metabolism > GO:phosphorus metabolism ; GO:0006793
MultiFun:1.8.2 Sulfur metabolism > GO:sulfur metabolism ; GO:0006790
MultiFun:1.8.3 Nitrogen metabolism > GO:nitrogen compound metabolism ; GO:0006807
MultiFun:2 Information transfer > GO:.
MultiFun:2.1 DNA related > GO:DNA metabolism ; GO:0006259
MultiFun:2.1.1 DNA replication > GO:DNA-dependent DNA replication ; GO:0006261
MultiFun:2.1.2 DNA restriction/modification > GO:DNA modification ; GO:0006304
MultiFun:2.1.2 DNA restriction/modification > GO:DNA restriction-modification system ; GO:0009307
MultiFun:2.1.3 DNA recombination > GO:DNA recombination ; GO:0006310
MultiFun:2.1.4 DNA repair > GO:DNA repair ; GO:0006281
MultiFun:2.1.5 DNA degradation > GO:DNA catabolism ; GO:0006308
MultiFun:2.2 RNA related > GO:RNA metabolism ; GO:0016070
MultiFun:2.2.2 Transcription related  > GO:transcription ; GO:0006350
MultiFun:2.2.3 RNA modification > GO:RNA modification ; GO:0009451
MultiFun:2.2.4 RNA degradation > GO:RNA catabolism ; GO:0006401
MultiFun:2.2.5 tRNA > GO:tRNA metabolism ; GO:0006399
MultiFun:2.2.6 rRNA, stable RNA > GO:rRNA metabolism ; GO:0016072
MultiFun:2.2.7 Antisense RNA > GO:antisense RNA metabolism ; GO:0042868
MultiFun:2.3 Protein related > GO:protein biosynthesis ; GO:0006412
MultiFun:2.3.1 Amino acid-activation > GO:tRNA aminoacylation for protein translation ; GO:0006418
MultiFun:2.3.2 Translation  > GO:protein biosynthesis ; GO:0006412
MultiFun:2.3.3 Posttranslational modification > GO:protein modification ; GO:0006464
MultiFun:2.3.4 Chaperoning, folding > GO:protein folding ; GO:0006457
MultiFun:2.3.5 Export, signal peptide cleavage > GO:protein targeting ; GO:0006605
MultiFun:2.3.5 Export, signal peptide cleavage > GO:intracellular protein transport ; GO:0006886
MultiFun:2.3.5 Export, signal peptide cleavage > GO:protein processing ; GO:0016485
MultiFun:2.3.6 Turnover, degradation > GO:proteolysis and peptidolysis ; GO:0006508
MultiFun:2.3.7 Nucleoproteins, basic proteins > GO:.
MultiFun:2.3.8 Ribosomal proteins > GO:structural constituent of ribosome ; GO:0003735
MultiFun:2.3.9 Non-ribosomal peptide synthetase > GO:nonribosomal peptide biosynthesis ; GO:0019184
MultiFun:3 Regulation > GO:regulation of biological process ; GO:0050789
MultiFun:3.1. Type of regulation > GO:.
MultiFun:3.1.1 DNA structure level > GO:.
MultiFun:3.1.1.1 DNA bending, supercoiling, inversion > GO:DNA bending activity ; GO:0008301
MultiFun:3.1.1.1 DNA bending, supercoiling, inversion > GO:DNA topoisomerase activity ; GO:0003916
MultiFun:3.1.1.2 Methylation > GO:DNA methylation ; GO:0006306
MultiFun:3.1.2 Transcriptional level > GO:regulation of transcription, DNA-dependent ; GO:0006355
MultiFun:3.1.2.1 Sigma factors, anti-sigmafactors > GO:sigma factor activity ; GO:0016987
MultiFun:3.1.2.1 Sigma factors, anti-sigmafactors > GO:sigma factor antagonist activity ; GO:0016989
MultiFun:3.1.2.2 Activator > GO:transcriptional activator activity ; GO:0016563
MultiFun:3.1.2.3 Repressor > GO:transcriptional repressor activity ; GO:0016564
MultiFun:3.1.2.4 Complex regulation > GO:.
MultiFun:3.1.2.4.1 More than one signal needed > GO:.
MultiFun:3.1.2.4.2 Regulons or multilayer component regulatory systems > GO:.
MultiFun:3.1.2.4.3 Two-component regulatory systems (external signal) > GO:two-component sensor molecule activity ; GO:0000155
MultiFun:3.1.2.4.3 Two-component regulatory systems (external signal) > GO:two-component response regulator activity ; GO:0000156
MultiFun:3.1.2.4.4 Quorum sensing > GO:quorum sensing response regulator activity ; GO:0009370
MultiFun:3.1.2.4.4 Quorum sensing > GO:quorum sensing signal generator activity ; GO:0009369
MultiFun:3.1.2.4.4 Quorum sensing > GO:quorum sensing ; GO:0009372
MultiFun:3.1.2.5 Action unknown > GO:.
MultiFun:3.1.3 Posttranscriptional > GO:.
MultiFun:3.1.3.1 Translation attenuation and efficiency > GO:translational attenuation ; GO:0009386
MultiFun:3.1.3.2 Covalent modification, demodification, maturation > GO:protein modification ; GO:0006464
MultiFun:3.1.3.2 Covalent modification, demodification, maturation > GO:protein processing ; GO:0016485
MultiFun:3.1.3.3 Inhibition / activation of enzymes > GO:enzyme inhibitor activity ; GO:0004857
MultiFun:3.1.3.3 Inhibition / activation of enzymes > GO:enzyme activator activity ; GO:0008047
MultiFun:3.1.3.4 Proteases, cleavage of compounds > GO:peptidase activity ; GO:0008233
MultiFun:3.1.3.5 Multilayer regulatory systems > GO:.
MultiFun:3.1.3.6 Antisense RNA > GO:RNA interference ; GO:0016246
MultiFun:3.1.4 Regulation level unknown > GO:.
MultiFun:3.3 Genetic unit regulated > GO:.
MultiFun:3.3.1 Operon (regulation of one operon) > GO:.
MultiFun:3.3.2 Regulon (a network of operons encoding related functions) > GO:.
MultiFun:3.3.3 Stimulon (ie. environmental stimulus) > GO:.
MultiFun:3.3.4 Global  > GO:.
MultiFun:3.4 Trigger (some information added) > GO:.
MultiFun:3.5 Trigger modulation (some information added) > GO:.
MultiFun:4  Transport > GO:transporter activity ; GO:0005215
MultiFun:4  Transport > GO:transport ; GO:0006810
MultiFun:4.1 Channel-type Transporters > GO:channel or pore class transporter activity ; GO:0015267
MultiFun:4.1.A. alpha-type channels > GO:.
MultiFun:4.1.A.1. The Voltage-gated Ion Channel (VIC) Superfamily > GO:voltage-gated ion channel activity ; GO:0005244
MultiFun:4.2  Electrochemical potential driven transporters > GO:electrochemical potential-driven transporter activity ; GO:0015290
MultiFun:4.2.A. Porters (Uni-, Sym- and Antiporters) > GO:symporter activity ; GO:0015293
MultiFun:4.2.A. Porters (Uni-, Sym- and Antiporters) > GO:antiporter activity ; GO:0015297
MultiFun:4.2.A. Porters (Uni-, Sym- and Antiporters) > GO:uniporter activity ; GO:0015292
MultiFun:4.2.C Ion-gradient driven energizers > GO:ion-gradient-driven energizer activity ; GO:0015404
MultiFun:4.3 Primary Active Transporters > GO:porter activity ; GO:0015291
MultiFun:4.3.A. Pyrophosphate Bond (ATP; GTP; P2) Hydrolysis-driven Active Transporters > GO:ATPase activity ; GO:0016887
MultiFun:4.3.A.1 The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases > GO:ATPase activity, coupled to transmembrane movement of substances ; GO:0042626
MultiFun:4.3.A.2 The H+/Na+-translocating F-, V- and A-type ATPase (F-ATPase) Superfamily > GO:hydrogen-translocating F-type ATPase complex (sensu Bacteria) ; GO:0045256
MultiFun:4.3.A.2 The H+/Na+-translocating F-, V- and A-type ATPase (F-ATPase) Superfamily > GO:hydrogen-translocating V-type ATPase complex ; GO:0016471
MultiFun:4.3.A.3 The P-type ATPase (P-ATPase) Superfamily > GO:ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism ; GO:0015662
MultiFun:4.3.A.4 The Arsenite-Antimonite (Ars) Efflux Family > GO:arsenite-transporting ATPase activity ; GO:0015446
MultiFun:4.3.A.4 The Arsenite-Antimonite (Ars) Efflux Family > GO:antimonite-transporting ATPase activity ; GO:0042961
MultiFun:4.3.A.4 The Arsenite-Antimonite (Ars) Efflux Family > GO:antimonite transport ; GO:0015699
MultiFun:4.3.A.4 The Arsenite-Antimonite (Ars) Efflux Family > GO:arsenite transport ; GO:0015700
MultiFun:4.3.A.5 The Type II (General) Secretory Pathway (IISP) Family > GO:type II protein secretion system ; GO:0015628
MultiFun:4.3.A.6 The Type III (Virulence-related) Secretory Pathway (IIISP) Family > GO:type III protein secretion system ; GO:0030254
MultiFun:4.3.A.7 The Type IV (Conjugal DNA-Protein Transfer) Secretory Pathway (IVSP) Family > GO:type IV protein secretion system ; GO:0030255
MultiFun:4.3.D. Oxidoreduction-driven Active Transporters > GO:oxidoreduction-driven active transporter activity ; GO:0015453
MultiFun:4.4 Group Translocators > GO:group translocator activity ; GO:0015455
MultiFun:4.4.A Phosphotransferase Systems (PEP-dependent PTS) > GO:phosphoenolpyruvate-dependent sugar phosphotransferase system ; GO:0009401
MultiFun:4.8.A Accessory Factors Involved in Transport > GO:.
MultiFun:4.9.A Transporters of Unknown Classification > GO:transporter activity ; GO:0005215
MultiFun:4.9.A Transporters of Unknown Classification > GO:transport ; GO:0006810
MultiFun:4.9.A Recognized transporters of unknown biochemical mechanism > GO:transporter activity ; GO:0005215
MultiFun:4.9.A Recognized transporters of unknown biochemical mechanism > GO:transport ; GO:0006810
MultiFun:4.9.A.1 The Polysaccharide Transporter (PST) Family > GO:polysaccharide transporter activity ; GO:0015159
MultiFun:4.9.A.1 The Polysaccharide Transporter (PST) Family > GO:polysaccharide transport ; GO:0015774
MultiFun:4.9.A.4 The Nicotinamide Mononucleotide (NMN) Uptake Permease (PnuC) Family > GO:nicotinamide mononucleotide transporter activity ; GO:0015663
MultiFun:4.9.A.4 The Nicotinamide Mononucleotide (NMN) Uptake Permease (PnuC) Family > GO:nicotinamide mononucleotide transport ; GO:0015890
MultiFun:4.9.A.8 The Ferrous Iron Uptake (FeoB) Family > GO:ferrous iron transporter activity ; GO:0015093
MultiFun:4.9.A.8 The Ferrous Iron Uptake (FeoB) Family > GO:ferrous iron transport ; GO:0015684
MultiFun:4.9.A.13 The Short Chain Fatty Acid Transporter (scFAT) Family > GO:short-chain fatty acid transporter activity ; GO:0015635
